"Name","Price","Location","Total_Area","Price_per_SQFT","Description","Baths","Balcony","Number of BHK","City"
"Yerawada, Pune","₹25.0 L","Yerawada",600,4170,"1.5 BHK Independent House for sale in Yerawada, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Yerawada which is a promising investment destination in Pune. This might be your chance to grab the best 1.5 BHK property for sale in Yerawada. This 1.5 BHK Independent House is available at a reasonable price of Rs 25.0 L. Residents also need to pay maintenance charges of Rs 0. The built-up area is 600 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Sahyadri ...",2,"No",15,"Pune"
"Jeevan Building","₹36.0 L","Dangat Vasti",1017,3540,"Property for sale in Shivane, Pune. This 3 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 7. This Apartment's price is Rs 36.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1017 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Yashorahi Multi Speciality Hospital, Sushrut Hospital, and Siddhivinayak General Hospital. Schools like Nav Bharat High School...",3,"No",3,"Shivane"
"Chinchwad, Pune","₹70.0 L","Chinchwad",1408,4970,"4 BHK Independent House for sale in Chinchwad, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Chinchwad which is a promising investment destination in Pune. This might be your chance to grab the best 4 BHK property for sale in Chinchwad. This 4 BHK Independent House is available at a reasonable price of Rs 70.0 L. The built-up area is 1408 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Aditya Birla Memorial Hospital, Kamat Hospital, and Niramaya Hospit...",3,"Yes",4,"Pune"
"Somatane, Pune","₹36.0 L","Somatane",1000,3600,"Best 2 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Pune's top location, Somatane. The property price of this unit is Rs 36.0 L. The built-up area is 1000 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to High Vision English Medium School, Geeta Vidyaniketan English Medium School, and Jain English Medium School. Healthcare facility is also close at hand with BADE Accident and Multispecialty Hospital, ...",3,"No",2,"Pune"
"Sortapoadi malawadi,Uruli Kanchan, Pune","₹18.5 L","Sortapoadi malawadi,Uruli Kanchan",1100,1680,"Check out this 1 RK Independent House for sale in Uruli Kanchan, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 1 RK Independent House is perfect for a modern-day lifestyle. Uruli Kanchan is a promising location in Pune and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 19.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 1100 Square feet built-up area. The carpet-area is 560 Square feet. The unit has 1 bedroom and 1 bathr...",3,"Yes",1,"Pune"
"Ramkrupa Apartments,Narayan Peth, Pune","₹35.0 L","Ramkrupa Apartments,Narayan Peth",350,10000,"1 RK Apartment for sale in Narayan Peth, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Narayan Peth which is a promising investment destination in Pune. This might be your chance to grab the best 1 RK property for sale in Narayan Peth. The property is on floor 1 and the total number of floors is 3. This 1 RK Apartment is available at a reasonable price of Rs 35.0 L. Residents also need to pay maintenance charges of Rs 0. The built-up area is 350 Square feet. It enjoys a strategic location with many reputed and mult...",1,"No",1,"Pune"
"Xrbia Hinjewadi Road","₹25.0 L","Bebadohal",418,5980,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Pune's top location, Bebadohal. It is situated on floor 2. The total number of floors in this Apartment is 14. The property price of this unit is Rs 25.0 L. The built-up area is 418 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Shree Jyotiba Vidyalaya,Bebadohal, Government School, and 2 Kiams. Healthcare facility is also close at hand with Sai Baba Hospi...",2,"Yes",2,"Pune"
"Katrajnagar, Katraj,Pune","₹50.0 L","Katrajnagar",922,5420,"Best 2.5 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2.5 BHK property for sale in one of Pune's top location, Katraj. The property price of this unit is Rs 50.0 L. Monthly maintenance costs Rs 0. The built-up area is 922 Square feet. It is an ideal location for young families with kids, as this property is close to Kai Krishnaji Balwantrao More Vidhyalaya, MUNOT HIGH SCHOOL, and Radhakrishna Prathamik And Madhyamik Vidyalay. Healthcare facility is also close at hand with Bharati Hospital, Roopam eye care hospital, ...",3,"Yes",25,"Katraj"
"Shreeji Constructions,Talegaon Dabhade, Pune","₹22.0 L","Shreeji Constructions,Talegaon Dabhade",425,5180,"One of the finest property in Talegaon Dabhade is now available for sale. This is a Studio Apartment posted directly by owner. Make it yours now. It is on floor 0. It is a 3 storeyed building. The price of this Apartment is Rs 22.0 L. This Apartment is spacious with a built-up area of 425 Square feet. The carpet area is 325 Square feet. It is a East-facing property with a good view. There are 1 bedroom and 0 bathroom. This property ensures you are a quick distance away from the city's best schools such as Hutchings High School, Methodist Girls School, and Rambhau Perulekar Vidyaniketan. It is ...",2,"Yes",NA,"Pune"
"Keshav Nagar, Pune","₹65.0 L","Keshav Nagar",1800,3610,"Looking for a 4 BHK Independent House for sale in Pune? Your search ends here. Buy this 4 BHK property in Pune's finest location, Mundhwa. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 65.0 L. The built up area of this property is 1800 Square feet. It is spacious for a family and this property has a carpet area of 1670 Square feet. There are 4 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as The Orbis School, Sadhana Vidyalay & Junior College, and Sarthi Vidya Mandir. Me...",3,"Yes",4,"Pune"
"Maya Nagari","₹200 L","Perugate",2000,10000,"A 4 BHK Apartment for sale in Sadashiv Peth, Pune. Posted by Owner, No brokerage involved. This beautifully designed 4 BHK unit with all the modern-day comforts is one of Sadashiv Peth's most desired properties. Contact now for more information. This 4 BHK unit is on floor 3. There are 6 floors in this property. The price of this Apartment is Rs 200 L. Each unit has a built-up area of 2000 Square feet. There are 4 bedrooms. There is provision for 3 bathroom. This residential property is near Jnana Prabodhini Prashala, Sinhgad Business School Erandwane, and Muktangan English School & Junior Co...",1,"Yes",4,"Sadashiv Peth"
"Kundan Kushal Nagar","₹40.0 L","Khadki",560,7140,"Check out this 1 BHK Apartment for sale in Khadki, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Khadki is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 6. The total number of floors in this project is 6. The property's price is Rs 40.0 L. This property is a modern-day abode, with 560 Square feet built-up area. The unit has 1 bedroom and 1 bathroom. Educational institutions are closeby with schools ...",2,"Yes",1,"Pune"
"Dangat Vasti, Shivane,Pune","₹23.75 L","Dangat Vasti",792,3000,"A 2 BHK Apartment for sale in Shivane, Pune. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Shivane's most desired properties. Contact now for more information. This 2 BHK unit is on floor 1. The price of this Apartment is Rs 24.0 L. Maintenance charges come to Rs 600. Each unit has a built-up area of 792 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Walnut School Shivane | CBSE, Prestige Public School, and Pawar Public School, Nanded City. It is also close to Dest...",2,"Yes",2,"Shivane"
"Suman Srushti,Gurudatta Nagar, Fursungi,Pune","₹29.0 L","Suman Srushti,Gurudatta Nagar",600,4830,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Pune's top location, Phursungi. Suman Srushti is a popular landmark and this property is very strategically located in Pune city. It is situated on floor 1. The total number of floors in this Apartment is 5. The carpet area of this unit is 450.0 Square feet. The built-up area is 600 Square feet. There are 1 bedroom and 1 bathroom. This property enjoys a good view and is West-facing. This property in Phursungi, Pune has lift facility as wel...",2,"No",1,"Fursungi"
"Radhika Apartment","₹60.0 L","Sector 14 Dwarka",442,13570,"Looking for a 1 BHK Apartment for sale in Delhi? Your search ends here. Buy this 1 BHK property in Delhi's finest location, Sector 14, Dwarka. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 1 floors. This Apartment is available at a reasonable price of Rs 60.0 L. Maintenance charges in this property is Rs 200. The built up area of this property is 442 Square feet. There are 1 bedroom and 2 bathroom. There are a number of reputed schools in the vicinity such as Prudence School, Bal Bharati Public School–Dwarka (BBPS–Dwarka), and Sri Venkateshwar Int...",2,"No",114,"New Delhi"
"Meet Nagar, Saboli,New Delhi","₹37.0 L","Meet Nagar",631,5860,"
FREE HOLD DDA authorised house E13/380, Shakti Garden Road, E-BLOCK, East Gokalpur Delhi 94. May check at Google map. Pakki Registry from Tehsil . Cheaper stamp duty on T-Iron +Silli house. More old house more cheaper stamp duty. House tax paid till March 2023. Sewerage, Electricity & Water connection held, 80% Housing loan from NBFC. NORTH FACING, FRONT 15 feet,  Road 15 ft, Way to House via Loni bus depot or Johri Enclave metro station to Parwar Medical Store on 30 foota road to Prabhu Atma School , via Sewa
 dham road to Sushila Garden/Saboli Fatak ,  Via Meet Nagar 20 foota road  via  mee...",2,"No",3,"Saboli"
"Mahadev Floors 2","₹48.0 L","Mahavir Enclave Part 2",1025,4680,"2 BHK Apartment for sale in Mahavir Enclave, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Mahavir Enclave which is a promising investment destination in Delhi. This might be your chance to grab the best 2 BHK property for sale in Mahavir Enclave. The property is on floor 2 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 100. The built-up area is 1025 Square feet. This property has provision for 2 bathro...",3,"Yes",2,"Mahavir Enclave"
"Skylark Apart,Ghazipur Village, Gazipur,New Delhi","₹95.0 L","Skylark Apart,Ghazipur Village",1400,6790,"Looking for a good 3 BHK Apartment in Gazipur, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 3. Total number of floors is 3. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 95.0 L. This modern unit has a built-up area of 1400 Square feet. This property has a good view and is West-facing. There are 3 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Cloudnine Hospital - Patparganj, East Delhi, Max Super Speciality Hospital, Patparganj, and Max Super...",3,"No",3,"Gazipur"
"Shiv Ganga,Bhagwati Garden, Dwarka Mor,New Delhi","₹37.0 L","Shiv Ganga,Bhagwati Garden",1400,2640,"2 BHK Apartment for sale in Nawada, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Nawada which is a promising investment destination in Delhi. This might be your chance to grab the best 2 BHK property for sale in Nawada. The property is on floor 3 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 37.0 L. Residents also need to pay maintenance charges of Rs 500. It is a very spacious property, spread over 1100 Square feet. The built-up area is 1400 Square feet. This ...",3,"No",2,"Dwarka Mor"
"Shivani Enclave, Tara Nagar,New Delhi","₹25.0 L","Shivani Enclave",625,4000,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Delhi's top location, Kakrola. It is situated on floor 1. The total number of floors in this Apartment is 4. The property price of this unit is Rs 26.0 L. The built-up area is 625 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Sarvodaya Girls Sr Sec Sch, Tirupati Public School, and EDUCATION POINT. Healthcare facility is also close at hand with Venkateshw...",2,"No",2,"Tara Nagar"
" RWA Dilshad Colony Block E Markets WA","₹80.0 L","Dilshad Colony New Simapuri",1100,7270,"Looking for a 2 BHK Apartment for sale in Delhi? Your search ends here. Buy this 2 BHK property in Delhi's finest location, Dilshad Garden. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 2 floors. This Apartment is available at a reasonable price of Rs 80.0 L. The built up area of this property is 1100 Square feet. It is spacious for a family and this property has a carpet area of 800 Square feet. There are 2 bedrooms and 2 bathroom. This property has power backup facility. There are a number of reputed schools in the vicinity such as Gems Garden P...",3,"No",2,"Dilshad Garden"
"West End Greens, Rangpuri,New Delhi","₹250 L","West End Greens",2500,10000,"we Have 10 1RK Rooms in this building 2  1BHK 1 Godown in ground floor Redision blue hotal distance drive only 5 minuts. IGI T3 airport distance drive only 10 minutesDelhi jaipur highway distance 200 mtr.  More About This Property Looking for a good 5+ BHK Apartment in Rangpuri, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 2. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 250 L. This modern unit has a built-up area of 2500 Square feet. This property has...",4,"Yes",5,"Rangpuri"
"Rajpur Khurd Village, Chhattarpur,New Delhi","₹75.0 L","Rajpur Khurd Village",1337,5610,"Near to the metro station (under construction)
And close by to the SAARC UNIVERSITY
There are many facilities available and there is also a Wednesday market just besides the flats More About This Property A 3 BHK Apartment for sale in Chhatarpur, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Chhatarpur's most desired properties. Contact now for more information. This 3 BHK unit is on floor 4. There are 10 floors in this property. The price of this Apartment is Rs 75.0 L. Maintenance charges come to Rs 0. Each unit...",3,"Yes",3,"Chhattarpur"
"Sunrise Apartment","₹65.0 L","Mahavir Enclave Part 2",900,7220,"Looking for a 3 BHK Apartment for sale in Delhi? Your search ends here. Buy this 3 BHK property in Delhi's finest location, Mahavir Enclave. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 2 floors. This Apartment is available at a reasonable price of Rs 65.0 L. Maintenance charges in this property is Rs 1200. The built up area of this property is 900 Square feet. This property is South facing. There are 3 bedrooms and 2 bathroom. Other facilities include amenities like Community Hall. There are a number of reputed schools in the vicinity such as Am...",3,"No",3,"Mahavir Enclave"
"Rajpur Khurd Village, Chhattarpur,New Delhi","₹50.0 L","Rajpur Khurd Village",1100,4540,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Delhi's top location, Chhatarpur. It is situated on floor 2. The total number of floors in this Apartment is 4. The property price of this unit is Rs 55.0 L. The built-up area is 1100 Square feet. There are 3 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Ashu Verma Coaching Centre, Little Green Preschool, and Bhavans Sawan Public School. Healthcare facility is also close at hand...",3,"No",3,"Chhattarpur"
"sector 27 Dwarka Bijwasan,Nayak Pura, Bijwasan,New Delhi","₹62.0 L","sector 27 Dwarka Bijwasan,Nayak Pura",1535,4040,"3 BHK Apartment for sale in Delhi. This property is in Bijwasan, which is a coveted investment location. This tastefully designed 3 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 4. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 62.0 L. Monthly maintenance charges come to Rs 1500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1535 Square feet. This i...",3,"Yes",3,"Bijwasan"
"Shankar Apartments","₹85.0 L","Mahavir Enclave Part 1",900,9440,"3 BHK Apartment for sale in Mahavir Enclave, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Mahavir Enclave which is a promising investment destination in Delhi. This might be your chance to grab the best 3 BHK property for sale in Mahavir Enclave. The property is on floor 1 and the total number of floors is 4. This 3 BHK Apartment is available at a reasonable price of Rs 85.0 L. The built-up area is 900 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like DIC Diag...",3,"No",3,"Mahavir Enclave"
"Sidhi vinayak apartments ,Nai Basti, Mehrauli,New Delhi","₹11.0 L","Sidhi vinayak apartments ,Nai Basti",535,2060,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Delhi's top location, Mehrauli. It is situated on floor 4. The total number of floors in this Apartment is 4. The property price of this unit is Rs 11.0 L. Monthly maintenance costs Rs 1000. The carpet area of this unit is 535 Square feet. The built-up area is 535 Square feet. There are 1 bedroom and 1 bathroom. It is an ideal location for young families with kids, as this property is close to Mehrauli No.2-Sarvodaya Kanya Vidyalaya, Guruk...",2,"No",1,"Mehrauli"
"CGHS Sita Apartments","₹125 L","Sector 14 Rohini",930,13440,"A 2 BHK Apartment for sale in Rohini, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Rohini's most desired properties. Contact now for more information. This 2 BHK unit is on floor 2. There are 4 floors in this property. The price of this Apartment is Rs 125 L. Maintenance charges come to Rs 2000. Each unit has a built-up area of 930 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Vspk International School, Adarsh Public School, and Lancer Convent Senior Sec...",3,"Yes",214,"New Delhi"
"DLF Capital Greens,Karampura Industrial Area, Karampura,New Delhi","₹26.0 L","DLF Capital Greens,Karampura Industrial Area",350,7430,"1 RK Independent House for sale in Karampura, Delhi. This 1 RK unit is available in Karampura and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Karampura. The price of this Independent House is Rs 27.0 L. Residents in this project also pay monthly maintenance charges of Rs 900. It is a good, spacious Independent House unit with carpet area of 300 Square feet. The built-up area is 350 Square feet. There are 1 bedroom and 1 bathroom. This property is at a w...",1,"No",1,"Karampura"
" Tarun Vihar Apartments","₹180 L","Sector 13 Rohini",1200,15000,"Property for sale in Rohini, Delhi. This 3 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 0. The total number of floors in this building is 2. This Apartment's price is Rs 180 L. Homebuyers will also need to pay Rs 1500 towards maintenance. This Apartment is a spacious unit, with carpet area of 1150 Square feet and is ideal for families. The built-up area is 1200 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous health...",3,"No",313,"New Delhi"
"bhagat singh collage ,Chirag Dilli, New Delhi","₹18.0 L","bhagat singh collage ,Chirag Dilli",450,4000,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Delhi's top location, Chirag Delhi. It is situated on floor 1. The total number of floors in this Apartment is 3. The property price of this unit is Rs 18.0 L. Monthly maintenance costs Rs 0. The carpet area of this unit is 350 Square feet. The built-up area is 450 Square feet. There are 1 bedroom and 1 bathroom. This property enjoys a good view and is North-facing. This property also enjoys power backup facility. It is an ideal location f...",2,"No",1,"New Delhi"
"Shri Ganpati Appartment ,Uttam nagar west, Uttam Nagar,New Delhi","₹13.0 L","Shri Ganpati Appartment ,Uttam nagar west",500,2600,"This Property Available For Sale in very good location in reginable price  for more detail contact Us . More About This Property 1 BHK Apartment for sale in Uttam Nagar, Delhi. This 1 BHK unit is available in Uttam Nagar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Uttam Nagar. It is on floor 1. The total number of floors is 13. The price of this Apartment is Rs 13.0 L. It is a good, spacious Apartment unit with carpet area of 450 Square feet. The bu...",2,"No",1,"Uttam Nagar"
"Lajpatnagar2,Lajpat Nagar III, Lajpat Nagar,New Delhi","₹205 L","Lajpatnagar2,Lajpat Nagar III",1500,13670,"Looking for a good 3 BHK Apartment in Lajpat Nagar, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 3. Maintenance charges of this property is Rs 300. This Apartment is available for Rs 205 L. This modern unit has a built-up area of 1500 Square feet. The carpet area of this Apartment is 1350 Square feet. There are 3 bedrooms and 4 bathroom. It is very close to some of city's best hospitals, such as, Apollo Spectra Hospitals, Apollo Cradle Royale, and Moolchand Medcity. Established schools...",3,"No",3,"Lajpat Nagar"
" Aravali Apartments,Alaknanda, New Delhi","₹150 L"," Aravali Apartments,Alaknanda",1100,13640,"2 BHK Apartment for sale in Delhi. This property is in Alaknanda, which is a coveted investment location. This tastefully designed 2 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 1. The price of the Apartment is Rs 150 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1100 Square feet. It has 2 bathroom and 2 bedrooms. Some of the very well-kno...",3,"No",2,"New Delhi"
"ganeshpura  trinagar   delhi ,Tri Nagar, New Delhi","₹90.0 L","ganeshpura  trinagar   delhi ,Tri Nagar",1650,5450,"A 5 BHK Independent House for sale in Tri Nagar, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 5 BHK unit with all the modern-day comforts is one of Tri Nagar's most desired properties. Contact now for more information. The price of this Independent House is Rs 65.0 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 1100 Square feet. There are 5 bedrooms. There is provision for 3 bathroom. This residential property is near THE KUDOS DANCE(Shastri Nagar), Montfort School, and Kulachi Hansraj Model School [Primary Wing]. It is also close to Apollo Cr...",3,"Yes",5,"New Delhi"
"Pundrik Vihar","₹140 L","Pundrik Vihar",1300,10770,"2 BHK Apartment for sale in Delhi. This property is in Pitampura, which is a coveted investment location. This tastefully designed 2 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 140 L. Monthly maintenance charges come to Rs 1533. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1300 Square feet. It ha...",3,"Yes",2,"Pitampura"
"Him Vihar Apartment,Block F, Patparganj,New Delhi","₹105 L","Him Vihar Apartment,Block F",950,11050,"2 BHK Apartment for sale in Patparganj, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Patparganj which is a promising investment destination in Delhi. This might be your chance to grab the best 2 BHK property for sale in Patparganj. The property is on floor 3 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 105 L. Residents also need to pay maintenance charges of Rs 1100. The built-up area is 950 Square feet. This property has provision for 2 bathroom. It enjoys ...",3,"Yes",2,"Patparganj"
"Indraprastha Apartments","₹115 L","IP Extension",1200,9590,"Walking distance to metro station, Max hospital, and markets. The building construction is of very high quality and well maintained society in the I.P. Extension area. House number adds to 6. More About This Property Looking for a 3 BHK Apartment for sale in Delhi? Your search ends here. Buy this 3 BHK property in Delhi's finest location, Indraprastha Extension. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 4 floors. This Apartment is available at a reasonable price of Rs 116 L. The built up area of this property is 1200 Square feet. This proper...",3,"Yes",3,"Patparganj"
"Garg Apartment ,Badarpur Village, Badarpur,New Delhi","₹22.0 L","Garg Apartment ,Badarpur Village",585,3760,"Brand New property...walking distance from BADARPUR METRO STATION  More About This Property One of the finest property in Badarpur is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 4 storeyed building. The price of this Apartment is Rs 22.0 L. Other charges when you move into this property include maintenance, which is Rs 200. This Apartment is spacious with a built-up area of 585 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 1 bathroom. This property ensures you are a quick distanc...",2,"No",2,"Badarpur"
"Mohan Garden, Dwarka Mor,New Delhi","₹19.0 L","Mohan Garden",405,4690,"Looking for a 2 RK Independent House for sale in Delhi? Your search ends here. Buy this 2 RK property in Delhi's finest location, Nawada. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 19.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 405 Square feet. It is spacious for a family and this property has a carpet area of 360 Square feet. There are 2 bedrooms and 1 bathroom. There are a number of reputed schools in the vicinity such as Sharda International School / Ruby Gl...",2,"Yes",2,"Dwarka Mor"
" Sector 2 Rohini, New Delhi","₹30.0 L"," Sector 2 Rohini",500,6000,"One of the finest property in Rohini is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 1 storeyed building. The price of this Apartment is Rs 33.0 L. This Apartment is spacious with a built-up area of 500 Square feet. The carpet area is 500 Square feet. It is a North-facing property with a good view. There are 2 bedrooms and 1 bathroom. This is a gated community. Other facilities include Garden, Community Hall. This project has regular water supply. Kids area is also present. This property ensures you are a quick distanc...",2,"No",22,"New Delhi"
"Mangal Apartment","₹200 L","Dallupura",1650,12120,"4 BHK Apartment for sale in Delhi. This property is in Vasundhara Enclave, which is a coveted investment location. This tastefully designed 4 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 5. The total number of floors in this Apartment is 7. The price of the Apartment is Rs 200 L. Monthly maintenance charges come to Rs 2800. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1650 Square fe...",3,"Yes",4,"New Delhi"
"Shaheen Bagh, Jamia Nagar,New Delhi","₹52.0 L","Shaheen Bagh",720,7220,"2 BHK Premium Flat at Zoya Apartment, Well Ventilated with kitchen, two toilets, Balcony with one Car Parking on the Wide Close End & Gated Lane on Thokar no 7 Road, Shaheen Bagh.

Features & Amenities:
Drawing Room:  LED Lighted False Ceiling with Jhoomer. 3D Waterproof wall paper on one wall with Attached Toilet cum Bathroom.

Kitchen: Factory Fitted modular Kitchen with Chimney (Elica Made)
Master Bed Room:  Full wall Wardrobe and Shringaar with Balcony fitted with SS grill and washing machine connection.
Attached Bathroom: Glass Shower Area, Vanity Basin, Wall mounted cistern with Conceale...",2,"No",2,"Jamia Nagar"
"Sukhdev Vihar Pocket A","₹160 L","Sukhdev Vihar",1350,11850,"3 BHK Apartment for sale in Okhla, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Okhla which is a promising investment destination in Delhi. This might be your chance to grab the best 3 BHK property for sale in Okhla. The property is on floor 1 and the total number of floors is 3. This 3 BHK Apartment is available at a reasonable price of Rs 155 L. Residents also need to pay maintenance charges of Rs 350. The built-up area is 1350 Square feet. This property has provision for 2 bathroom. It enjoys a strategic loc...",3,"No",3,"New Delhi"
"Red MIG Flats","₹110 L","Block 1",1100,10000,"Check out this 2 BHK Apartment for sale in Subhash Nagar, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Subhash Nagar is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 120 L. This property is a modern-day abode, with 1100 Square feet built-up area. The unit has 2 bedrooms and 2 bathroom. Educational institutions are clo...",3,"Yes",2,"Subhash Nagar"
"Vikas Sheel Apartments","₹190 L","Sector 13 Rohini",1650,11520,"Property for sale in Rohini, Delhi. This 3 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 4. This Apartment's price is Rs 200 L. Homebuyers will also need to pay Rs 1700 towards maintenance. This Apartment is a spacious unit, with carpet area of 1060 Square feet and is ideal for families. The built-up area is 1650 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous health...",3,"Yes",313,"New Delhi"
"Singh Govindpuri - 1","₹40.0 L","Govindpuri",650,6150,"2 BHK Apartment for sale in Govindpuri, Delhi. This 2 BHK unit is available in Govindpuri and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Govindpuri. It is on floor 2. The total number of floors is 5. The price of this Apartment is Rs 40.0 L. Residents in this project also pay monthly maintenance charges of Rs 500. It is a good, spacious Apartment unit with carpet area of 600 Square feet. The built-up area is 650 Square feet. There are 2 bedrooms and 2 ...",2,"Yes",2,"New Delhi"
